Unnamed: 0,addr,latitude,longitude
0,송파구 마천동 1-10,37.50140089999999,127.1586471
1,노원구 하계동 288-2,37.6449368,127.0737283
2,노원구 하계동 255- ,37.6403353,127.0776372
3,강북구 수유동 252-19,37.6457235,127.0204494
4,도봉구 방학동 270-1,37.6597831,127.0311865
5,송파구 가락동 21- ,37.5023386,127.1230275
6,노원구 중계동 507-3,37.6397013,127.0657916
7,노원구 월계동 1-7,37.6232494,127.0689643
8,노원구 월계동 779- ,37.6307835,127.0486895
9,송파구 오금동 110- ,37.5030986,127.1424217
10,노원구 월계동 555- ,37.62951939999999,127.0515124
11,노원구 월계동 564- ,37.628090500000006,127.0532717
12,노원구 월계동 563- ,37.62722,127.0516875
13,송파구 마천동 125-13,37.4975793,127.1512743
14,노원구 하계동 277- ,37.6348705,127.0712993
15,노원구 하계동 271-1,37.6370714,127.0633298
16,노원구 중계동 501- ,37.6442022,127.0614697
17,노원구 상계동 737-1,37.651721,127.0571617
18,노원구 상계동 737-3,37.6519915,127.0592957
19,노원구 상계동 741-2,37.6492494,127.0586622
20,노원구 상계동 752-1,37.6504775,127.0633196
21,노원구 상계동 756- ,37.6512797,127.066805
22,노원구 상계동 625- ,37.6703363,127.0555516
23,노원구 상계동 623- ,37.6679446,127.053321
24,노원구 상계동 656-1,37.6657426,127.0532382
25,노원구 상계동 652-3,37.66608529999999,127.054735
26,노원구 상계동 665- ,37.6628704,127.0543004
27,노원구 상계동 667- ,37.6628526,127.0561867
28,노원구 상계동 627- ,37.6692745,127.0583338
29,노원구 상계동 636- ,37.6680075,127.0620318
30,노원구 상계동 670-1,37.6632746,127.059867
31,노원구 상계동 695-1,37.65905,127.0567235
32,노원구 상계동 692-1,37.6599011,127.061065
33,노원구 상계동 1200-1,37.6875646,127.053304
34,구로구 구로동 50- ,37.5010265,126.8904376
35,성북구 돈암동 51-5,37.5977875,127.0211775
36,성북구 정릉동 1-214,37.6106601,126.9935398
37,성북구 삼선동1가 303- ,37.582363,127.0090132
38,성북구 보문동3가 218-50,37.5838929,127.0165128
39,성북구 하월곡동 2-11,37.61083060000001,127.0386769
40,성북구 종암동 108-1,37.6015468,127.0389498
41,성북구 장위동 156- ,37.6203285,127.0533143
42,강북구 번동 612-3,37.62994000000001,127.0429154
43,강북구 미아동 165-3,37.6320995,127.0255859
44,강북구 미아동 162-1,37.6335613,127.0252706
45,강북구 미아동 860-116,37.61821629999999,127.0243007
46,강북구 미아동 329-11,37.6181523,127.0270601
47,강북구 번동 447-1,37.6357842,127.0249482
48,강북구 번동 472-39,37.6393474,127.0329993
49,강북구 번동 235- ,37.6297165,127.0398433
50,강북구 번동 244- ,37.6237396,127.0464875
